Year,Zip,AgeGroup,Total
2013,90001,35-44,13
2013,90001,45-54,29
2013,90001,55-64,39
2013,90001,65-74,36
2013,90001,75-84,40
2013,90001,85+,42
2013,90002,15-24,12
2013,90002,35-44,11
2013,90002,45-54,25
2013,90002,55-64,54
2013,90002,65-74,37
2013,90002,75-84,59
2013,90002,85+,42
2013,90003,15-24,13
2013,90003,25-34,12
2013,90003,35-44,16
2013,90003,45-54,28
2013,90003,55-64,57
2013,90003,65-74,53
2013,90003,75-84,59
2013,90003,85+,54
2013,90004,45-54,22
2013,90004,55-64,42
2013,90004,65-74,35
2013,90004,75-84,56
2013,90004,85+,75
2013,90005,45-54,15
2013,90005,55-64,25
2013,90005,65-74,26
2013,90005,75-84,38
2013,90005,85+,66
2013,90006,35-44,12
2013,90006,45-54,24
2013,90006,55-64,44
2013,90006,65-74,42
2013,90006,75-84,59
2013,90006,85+,73
2013,90007,45-54,13
2013,90007,55-64,18
2013,90007,65-74,22
2013,90007,75-84,23
2013,90007,85+,34
2013,90008,45-54,32
2013,90008,55-64,42
2013,90008,65-74,52
2013,90008,75-84,71
2013,90008,85+,95
2013,90011,Under 1,12
2013,90011,15-24,12
2013,90011,35-44,21
2013,90011,45-54,39
2013,90011,55-64,60
2013,90011,65-74,69
2013,90011,75-84,65
2013,90011,85+,71
2013,90012,55-64,23
2013,90012,65-74,31
2013,90012,75-84,44
2013,90012,85+,91
2013,90013,45-54,17
2013,90013,55-64,21
2013,90013,65-74,16
2013,90013,75-84,13
2013,90013,85+,18
2013,90014,45-54,14
2013,90014,55-64,17
2013,90014,75-84,18
2013,90014,85+,13
2013,90015,55-64,13
2013,90015,65-74,15
2013,90015,75-84,15
2013,90015,85+,16
2013,90016,45-54,33
2013,90016,55-64,57
2013,90016,65-74,67
2013,90016,75-84,71
2013,90016,85+,85
2013,90017,55-64,21
2013,90017,65-74,14
2013,90017,75-84,18
2013,90017,85+,19
2013,90018,35-44,15
2013,90018,45-54,26
2013,90018,55-64,56
2013,90018,65-74,62
2013,90018,75-84,88
2013,90018,85+,103
2013,90019,45-54,25
2013,90019,55-64,49
2013,90019,65-74,82
2013,90019,75-84,102
2013,90019,85+,114
2013,90020,45-54,12
2013,90020,55-64,22
2013,90020,65-74,22
2013,90020,75-84,17
2013,90020,85+,29
2013,90022,35-44,11
2013,90022,45-54,23
2013,90022,55-64,38
2013,90022,65-74,61
2013,90022,75-84,95
2013,90022,85+,115
2013,90023,25-34,11
2013,90023,45-54,22
2013,90023,55-64,27
2013,90023,65-74,30
2013,90023,75-84,53
2013,90023,85+,70
2013,90024,65-74,17
2013,90024,75-84,46
2013,90024,85+,170
2013,90025,45-54,12
2013,90025,55-64,23
2013,90025,65-74,33
2013,90025,75-84,58
2013,90025,85+,96
2013,90026,25-34,11
2013,90026,35-44,14
2013,90026,45-54,38
2013,90026,55-64,45
2013,90026,65-74,45
2013,90026,75-84,66
2013,90026,85+,104
2013,90027,35-44,12
2013,90027,45-54,18
2013,90027,55-64,47
2013,90027,65-74,50
2013,90027,75-84,81
2013,90027,85+,115
2013,90028,35-44,11
2013,90028,45-54,14
2013,90028,55-64,27
2013,90028,65-74,32
2013,90028,75-84,33
2013,90028,85+,50
2013,90029,45-54,18
2013,90029,55-64,26
2013,90029,65-74,43
2013,90029,75-84,72
2013,90029,85+,77
2013,90031,45-54,14
2013,90031,55-64,34
2013,90031,65-74,31
2013,90031,75-84,59
2013,90031,85+,91
2013,90032,35-44,12
2013,90032,45-54,31
2013,90032,55-64,39
2013,90032,65-74,45
2013,90032,75-84,57
2013,90032,85+,92
2013,90033,35-44,15
2013,90033,45-54,26
2013,90033,55-64,40
2013,90033,65-74,40
2013,90033,75-84,59
2013,90033,85+,94
2013,90034,45-54,24
2013,90034,55-64,34
2013,90034,65-74,38
2013,90034,75-84,52
2013,90034,85+,68
2013,90035,55-64,19
2013,90035,65-74,33
2013,90035,75-84,46
2013,90035,85+,103
2013,90036,55-64,18
2013,90036,65-74,24
2013,90036,75-84,36
2013,90036,85+,96
2013,90037,35-44,16
2013,90037,45-54,42
2013,90037,55-64,53
2013,90037,65-74,49
2013,90037,75-84,50
2013,90037,85+,61
2013,90038,45-54,11
2013,90038,55-64,21
2013,90038,65-74,16
2013,90038,75-84,31
2013,90038,85+,29
2013,90039,45-54,13
2013,90039,55-64,26
2013,90039,65-74,37
2013,90039,75-84,51
2013,90039,85+,63
2013,90040,55-64,15
2013,90040,65-74,16
2013,90040,75-84,12
2013,90040,85+,32
2013,90041,45-54,14
2013,90041,55-64,19
2013,90041,65-74,28
2013,90041,75-84,46
2013,90041,85+,82
2013,90042,35-44,17
2013,90042,45-54,20
2013,90042,55-64,39
2013,90042,65-74,52
2013,90042,75-84,43
2013,90042,85+,76
2013,90043,35-44,19
2013,90043,45-54,39
2013,90043,55-64,73
2013,90043,65-74,73
2013,90043,75-84,93
2013,90043,85+,108
2013,90044,15-24,15
2013,90044,25-34,19
2013,90044,35-44,28
2013,90044,45-54,64
2013,90044,55-64,113
2013,90044,65-74,105
2013,90044,75-84,114
2013,90044,85+,83
2013,90045,45-54,12
2013,90045,55-64,17
2013,90045,65-74,30
2013,90045,75-84,47
2013,90045,85+,103
2013,90046,45-54,16
2013,90046,55-64,24
2013,90046,65-74,44
2013,90046,75-84,86
2013,90046,85+,166
2013,90047,35-44,21
2013,90047,45-54,24
2013,90047,55-64,60
2013,90047,65-74,89
2013,90047,75-84,112
2013,90047,85+,99
2013,90048,55-64,17
2013,90048,65-74,26
2013,90048,75-84,39
2013,90048,85+,98
2013,90049,55-64,19
2013,90049,65-74,21
2013,90049,75-84,66
2013,90049,85+,147
2013,90056,75-84,26
2013,90056,85+,36
2013,90057,35-44,14
2013,90057,45-54,21
2013,90057,55-64,28
2013,90057,65-74,37
2013,90057,75-84,54
2013,90057,85+,54
2013,90059,35-44,12
2013,90059,45-54,15
2013,90059,55-64,34
2013,90059,65-74,37
2013,90059,75-84,42
2013,90059,85+,38
2013,90061,35-44,11
2013,90061,45-54,20
2013,90061,55-64,37
2013,90061,65-74,47
2013,90061,75-84,44
2013,90061,85+,35
2013,90062,35-44,12
2013,90062,45-54,16
2013,90062,55-64,35
2013,90062,65-74,36
2013,90062,75-84,45
2013,90062,85+,45
2013,90063,45-54,30
2013,90063,55-64,40
2013,90063,65-74,44
2013,90063,75-84,73
2013,90063,85+,92
2013,90064,55-64,15
2013,90064,65-74,24
2013,90064,75-84,40
2013,90064,85+,95
2013,90065,45-54,23
2013,90065,55-64,20
2013,90065,65-74,46
2013,90065,75-84,49
2013,90065,85+,77
2013,90066,45-54,21
2013,90066,55-64,31
2013,90066,65-74,56
2013,90066,75-84,60
2013,90066,85+,139
2013,90067,75-84,12
2013,90067,85+,31
2013,90068,65-74,21
2013,90068,75-84,31
2013,90068,85+,52
2013,90069,45-54,15
2013,90069,55-64,18
2013,90069,65-74,22
2013,90069,75-84,37
2013,90069,85+,58
2013,90077,75-84,19
2013,90077,85+,41
2013,90094,85+,13
2013,90201,25-34,14
2013,90201,35-44,11
2013,90201,45-54,33
2013,90201,55-64,58
2013,90201,65-74,64
2013,90201,75-84,59
2013,90201,85+,69
2013,90210,65-74,27
2013,90210,75-84,27
2013,90210,85+,97
2013,90211,75-84,14
2013,90211,85+,33
2013,90212,75-84,20
2013,90212,85+,44
2013,90220,15-24,12
2013,90220,45-54,36
2013,90220,55-64,45
2013,90220,65-74,57
2013,90220,75-84,70
2013,90220,85+,78
